ID ra dec zphot zphot_- zphot_+ EAZY_lmass Reff Reff_sig
GSD-39649 53.05963 -27.725792 1.6602308136664166 0.016748310087097318 0.01333751533669747 10.850416833320516 0.7441737870033218 0.04973139281288236
GSD-42487 53.116396 -27.712701 1.685064102982054 0.02530154973658716 0.01794964015801015 11.032659525063474 0.6510981196023269 0.053726022206865155
GSD-38843 53.107039 -27.729749 1.6074472910726478 0.026082894307429827 0.03903369197083939 10.603244850007776 1.3063821386637124 0.12822559055042826
GSD-39012 53.06424 -27.727621 1.6168606855795755 0.03582197699725165 0.040364039740699464 11.288513778464472 1.6245417874814596 0.146443405140353
GSD-41520 53.152726 -27.716251 1.6414636961261284 0.020593520117148767 0.021903345569268096 11.21386444118166 1.200635509348688 0.10277277743228021
GSD-44042 53.10457 -27.705421 1.8054657794652984 0.015710791175391536 0.020768398172410718 11.35525564851844 2.1914505874343555 0.1459387454183182
GND-33775 189.188648 62.315319 1.6535177566846084 0.07746883684050831 0.0550653787416755 10.684751529012136 0.595794767638946 0.0458720784951843
GSD-42615 53.127414 -27.712062 1.674714356379184 0.0266709624832151 0.031352951020441555 11.171052711609962 1.0313277045551177 0.07174456970481971
GSD-41148 53.127925 -27.718885 1.7890221027773274 0.022162582965071342 0.019761812089929887 11.429374814790027 2.186251486341358 0.13993413076845498
GND-33780 189.202025 62.317153 1.9152322156830885 0.052338502289170696 0.05861882274006702 11.64188322275139 5.789244445197526 0.3683628265462069
GND-17735 189.060905 62.228977 1.9013539144124467 0.025581602215563937 0.0201548042143902 11.144848716846328 1.0928778100388308 0.08084389043392817
GND-19850 189.090085 62.239244 1.8516886274091446 0.021741374182658424 0.01679390983343909 10.910563131572388 0.7957062403209201 0.06578405435573718
GSD-24569 53.158798 -27.797153 1.8959876159104796 0.01795396263657678 0.01995734273286387 10.99801498622303 0.523190147527946 0.036544140161182605
GSD-24315 53.162991 -27.797654 2.008241824055635 0.015613342197306368 0.021453708554156403 10.65415181385529 0.4248922358689456 0.035034490938413924
GND-14132 189.190249 62.211662 2.0057636317034953 0.026652750342617493 0.02750934842241426 11.13082788179846 1.1123027791503164 0.08659341646640374
GSD-43572 53.142153 -27.707427 2.0460050856409144 0.03925328461127986 0.03450722727618194 11.17702933614242 3.1437424947316046 0.2578918856770258
GND-21738 189.210937 62.248818 2.1076142644480718 0.024607327681976265 0.02542599712562188 11.36623783691334 1.1895957881267338 0.09922482799710801
GND-32933 189.156358 62.309106 2.1321957286129076 0.03775397577918671 0.04475757239460254 10.7478560177505 1.0551426135184345 0.09848828600149856
GND-17599 189.121464 62.228903 2.121108286681011 0.019454983020522842 0.01485154558596724 11.029169339138969 0.36480082515249357 0.03946883980732087
GSD-44133 53.110407 -27.703706 2.094713669247715 0.014388929135377815 0.015583325309501905 10.41129646393246 1.589818895809185 0.12522479492553024
GND-23018 189.277544 62.254617 2.251096314868382 0.028340750945331727 0.025950955512134666 11.303768999435418 2.3903219359696326 0.16944819969893324
GSD-48464 53.144819 -27.68247 2.3397292257973157 0.02955527196738439 0.03309841388791579 11.409026164827146 2.0836367126692834 0.1751151280099491
